tourney_name,tourney_date,winner_name,winner_ht,winner_age,loser_name,loser_ht,loser_age,minutes,winner_rank,loser_rank,aces,df,games
Atp Cup,20200106,Novak Djokovic,188,32.6269678303,Rafael Nadal,185,33.5934291581,115,2,1,17,5,20
Atp Cup,20200106,Roberto Bautista Agut,183,31.7289527721,Dusan Lajovic,180,29.5195071869,97,10,34,4,2,19
Atp Cup,20200106,Novak Djokovic,188,32.6269678303,Daniil Medvedev,198,23.9014373717,167,2,5,10,10,29
Atp Cup,20200106,Dusan Lajovic,180,29.5195071869,Karen Khachanov,198,23.627652293,108,34,17,10,4,24
Atp Cup,20200106,Rafael Nadal,185,33.5934291581,Alex De Minaur,183,20.8843258042,133,1,18,11,4,29
Atp Cup,20200106,Roberto Bautista Agut,183,31.7289527721,Nick Kyrgios,193,24.6954140999,81,10,29,17,1,17
Atp Cup,20200106,Novak Djokovic,188,32.6269678303,Denis Shapovalov,185,20.7282683094,160,2,14,19,15,29
Atp Cup,20200106,Dusan Lajovic,180,29.5195071869,Felix Auger Aliassime,193,19.4113620808,99,34,21,13,5,18
Atp Cup,20200106,Daniil Medvedev,198,23.9014373717,Diego Schwartzman,170,27.3894592745,142,5,13,15,3,29
Atp Cup,20200106,Karen Khachanov,198,23.627652293,Guido Pella,185,29.6399726215,98,17,25,10,5,20
Atp Cup,20200106,Daniel Evans,175,29.6235455168,Alex De Minaur,183,20.8843258042,203,42,18,10,2,34
Atp Cup,20200106,Nick Kyrgios,193,24.6954140999,Cameron Norrie,188,24.372347707,72,29,52,12,8,16
Atp Cup,20200106,David Goffin,180,29.0814510609,Rafael Nadal,185,33.5934291581,143,11,1,10,7,22
Atp Cup,20200106,Roberto Bautista Agut,183,31.7289527721,Kimmer Coppejans,180,25.9110198494,90,10,158,5,3,17
Atp Cup,20200106,Novak Djokovic,188,32.6269678303,Gael Monfils,193,33.3470225873,91,2,9,5,10,17
Atp Cup,20200106,Benoit Paire,196,30.6639288159,Dusan Lajovic,180,29.5195071869,125,24,34,14,7,30
Atp Cup,20200106,Novak Djokovic,188,32.6269678303,Kevin Anderson,203,33.6372347707,139,2,147,27,4,24
Atp Cup,20200106,Dusan Lajovic,180,29.5195071869,Lloyd Harris,193,22.8637919233,135,34,99,16,6,30
Atp Cup,20200106,Novak Djokovic,188,32.6269678303,Cristian Garin,185,23.6030116359,72,2,33,9,7,18
Atp Cup,20200106,Dusan Lajovic,180,29.5195071869,Nicolas Jarry,198,24.2381930185,93,34,77,11,2,20
Atp Cup,20200106,Kevin Anderson,203,33.6372347707,Benoit Paire,196,30.6639288159,153,147,24,29,17,32
Atp Cup,20200106,Gilles Simon,183,35.0253251198,Lloyd Harris,193,22.8637919233,135,57,99,9,7,24
Atp Cup,20200106,Gael Monfils,193,33.3470225873,Cristian Garin,185,23.6030116359,79,9,33,15,8,21
Atp Cup,20200106,Benoit Paire,196,30.6639288159,Nicolas Jarry,198,24.2381930185,132,24,77,25,11,30
Atp Cup,20200106,Kevin Anderson,203,33.6372347707,Cristian Garin,185,23.6030116359,74,147,33,11,4,15
Atp Cup,20200106,Lloyd Harris,193,22.8637919233,Nicolas Jarry,198,24.2381930185,81,99,77,12,4,20
Atp Cup,20200106,Rafael Nadal,185,33.5934291581,Yoshihito Nishioka,170,24.2765229295,127,1,72,7,5,22
Atp Cup,20200106,Roberto Bautista Agut,183,31.7289527721,Go Soeda,178,35.3347022587,79,10,119,10,1,18
Atp Cup,20200106,Rafael Nadal,185,33.5934291581,Nikoloz Basilashvili,185,27.8685831622,109,1,26,6,7,21
Atp Cup,20200106,Rafael Nadal,185,33.5934291581,Pablo Cuevas,180,34.0123203285,73,1,45,14,3,15
Atp Cup,20200106,Yoshihito Nishioka,170,24.2765229295,Nikoloz Basilashvili,185,27.8685831622,82,72,26,7,5,17
Atp Cup,20200106,Yoshihito Nishioka,170,24.2765229295,Pablo Cuevas,180,34.0123203285,54,72,45,1,2,13
Atp Cup,20200106,Nikoloz Basilashvili,185,27.8685831622,Pablo Cuevas,180,34.0123203285,127,26,45,18,8,27
Atp Cup,20200106,Daniel Evans,175,29.6235455168,David Goffin,180,29.0814510609,108,42,11,7,0,20
Atp Cup,20200106,Steve Darcis,178,35.8165639973,Cameron Norrie,188,24.372347707,72,200,52,7,2,18
Atp Cup,20200106,David Goffin,180,29.0814510609,Grigor Dimitrov,188,28.643394935,148,11,20,10,10,26
Atp Cup,20200106,Dimitar Kuzmanov,183,26.4421629021,Steve Darcis,178,35.8165639973,77,417,200,0,1,15
Atp Cup,20200106,David Goffin,180,29.0814510609,Radu Albot,175,30.1519507187,82,11,46,9,5,17
Atp Cup,20200106,Grigor Dimitrov,188,28.643394935,Daniel Evans,175,29.6235455168,136,20,42,4,4,25
Atp Cup,20200106,Cameron Norrie,188,24.372347707,Dimitar Kuzmanov,183,26.4421629021,119,52,417,12,7,25
Atp Cup,20200106,Daniel Evans,175,29.6235455168,Radu Albot,175,30.1519507187,72,42,46,6,2,16
Atp Cup,20200106,Grigor Dimitrov,188,28.643394935,Radu Albot,175,30.1519507187,83,20,46,5,10,17
Atp Cup,20200106,Daniil Medvedev,198,23.9014373717,Fabio Fognini,178,32.6214921287,107,5,12,10,6,23
Atp Cup,20200106,Karen Khachanov,198,23.627652293,Stefano Travaglia,185,28.0246406571,88,17,82,11,4,21
Atp Cup,20200106,Daniil Medvedev,198,23.9014373717,John Isner,206,34.6967830253,60,5,19,10,1,16
Atp Cup,20200106,Karen Khachanov,198,23.627652293,Taylor Fritz,193,22.1902806297,111,17,31,23,7,28
Atp Cup,20200106,Daniil Medvedev,198,23.9014373717,Casper Ruud,183,21.0403832991,93,5,53,15,4,21
